title,link,source_feed,published,fetched_at,query
Banks park ₹1.5 trillion at RBI's three-day VRRR liquidity auction - Business Standard,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPNGJ4UHFiWmJJRVp3Y1dxX2lHd2VDY0N1OW1ZUklNSHgxRkNwNG12Y2xRZmI1VXg1NG5BSGdkei03dkFXb25JZjA5WnJXbUt4bmk2Y0xPeHY5aXN4dkVMQXB5YnhOd2lIaEY0TE1aSm1wLUZ2SDEtZVFMYks5UVFWU3dNUWQwNXZNOFIyMzlHeFBtdm9xc0lBczlPNDl4OFd5TGcxcF93ajVDcWPSAbABQVVfeXFMUHppT29lZzZJaks3T3Ezb3M2c2ZfNW9JUGJzRVJzcDlwZWtvTElXVWJKUDJteWdkdy03MXBSV2VtSURWRFROMVRBZk9Eb044Yk1OYk41dUxaTE5EM054ZzZMZ1RmTXU3dDZNcUhlcVVjUzVnSEp6VkdqMWl2TnJsQ2JfbmM4STljRkxlUFNuS1pFTWxreXA2cnp3RzQ3dEhRUm5IMXU0OVhUSXh6NEFsMUk?oc=5,https://news.google.com/rss/search?q=RBI+repo+rate&hl=en-IN&gl=IN&ceid=IN:en,2025-09-12T13:47:49,2025-09-14T18:20:39.598103,RBI repo rate
Mixed views on likely RBI stand over repo rate - Daily Excelsior,https://news.google.com/rss/articles/CBMihAFBVV95cUxNMnVjcFJxZHUwZ1RwdXEzR2loRy1Kc2NYWGdZem05cjhyVWxMNW5RWjJrZHVvSzNZNUtRTWZCOVV0R1BSN3NZTXNnRmFMUE12Y0FtaEZUMk5idUo2RHBxRHJWYndzRjVicTcyWnNWQnB1d1M4RE9ZQ3pTc2lNWElreXpGRG8?oc=5,https://news.google.com/rss/search?q=RBI+repo+rate&hl=en-IN&gl=IN&ceid=IN:en,2025-09-13T06:46:30,2025-09-14T18:20:39.598119,RBI repo rate
"RBI Keeps Repo Rate Unchanged at 5.5%, Signals Pause in Rate Cuts - Deccan Herald",https://news.google.com/rss/articles/CBMinAFBVV95cUxNTGw5Zi1iMmFhS0laYXJrOXgzUkJ1N0JMVmlFUTRZYkh4eER5Rk41U0RrMGtRM09vUy1BOTM4OHQ3Y1dLTG1weU8zRldlLVVkckxwdjFVNE1qNGc4Q2tRY1MxQjhHMmRLMnZFSXIwZk5Jam9IZHl6S2Z3a1BBYURyTHBkekhrUzF6cWVIUk83YW8zMWg0Ql9qSlRnclY?oc=5,https://news.google.com/rss/search?q=RBI+repo+rate&hl=en-IN&gl=IN&ceid=IN:en,2025-08-10T07:00:00,2025-09-14T18:20:39.598128,RBI repo rate
"Monetary policy: RBI likely to hold repo rate at 5.5% amid growth concerns, subdued inflation - Experts - Times of India",https://news.google.com/rss/articles/CBMikgJBVV95cUxNMm52NnVWOHEybGc0MVg5WVQ2bXYyUmxnRjhOOW9lRTREb0lZZXlxVmNlYkZtaUlRSzhRZDA1UHE2TnZzT3V5OFZTU2lrMDc2SzNXTkdTODJURVN5UF9EZ0E2ZEh3dHVhaU0zdjR5OHN3UTJPRWxyanFFbnluNUhuRTNoZlVrd051WFIwMTE1ZTJBWDR2emxuUGo3NjRrYjRwRml4LTl6bHJRcy1jYTJaQWZRLWhxR2NSandWTzV1UjczSEtzSmRneUUzUWppRmJOM2pHZ1RhM2dTZFFpOXJOVVdxX3l3T1phYlRfZy1USGxWRHlqUnBWSVdZMzNyZ1FnTXNrOVB2U2pEd2IwZm5VcXVn0gGXAkFVX3lxTFA3dGV3US1PMm1UQWp0Zm1EZkhXZjkwU1dCdTB3eWVfQnczODRwRnE2dTdtbXk4MHF2VlR4NXE1YS1SdEVyUXQyZFFYLTUtX3JGdFhGcHR3Ykh6V05fNUkzT1VBM0NiMVFIZzdZbnJrVFh2UXRGUjVTam1Pa2pwY21ZZnNSNWdVM3pkMGctTnVIS1FOQm5TY1RTU2xaUkhHTzFOZ0w5NnlTbWQtdEFOWnlrTmlBZUxaVV9BWDhmRkxKaUcxT2t2NGJRblNqckE3UjBta090RUIyMnAxUDVwdzNtaVZEa25CTnU0M0l2TnpuWExuUmVwNUU1VXYwTTd4OWN3aWp1TmxidnZ3eURoREpINlhKWmt4RQ?oc=5,https://news.google.com/rss/search?q=RBI+repo+rate&hl=en-IN&gl=IN&ceid=IN:en,2025-08-03T07:00:00,2025-09-14T18:20:39.598138,RBI repo rate
RBI may cut rates in December; bond market outlook turning positive: Bandhan AMC’s Suyash Choudhary - The Economic Times,https://news.google.com/rss/articles/CBMi_wFBVV95cUxQZmw3dVpaQnB2bmdOd2NDYmxlZno4UndESVdSTl8yTXc5eE1pUWV0QTI5WXdNcHhBS1lfWEtRTWdWUG9jcVBHSjJNVm9KQmZxY0ZZSlgtdUxDMV9XYzRpSDhwTXBwX0xNQll3SXBkMEc3NTFKWV9DcDBiZW5KVk53VDRMbVJHOWlvUW40N3B0ZWdlZ3kwRmNWZERlbjhLOVA4RjNvWGV1dW9JdWd2VW9BZWdFQTFYbzVCa1JrN3ExSTBaeV9jSHdCc2hucm5KYkhCMzd1ZS01dVltVnRQXzVoQVkxN0Y4aE1RSkN1RmI3OG1veFRqMkczRGFTMUl6SWvSAYQCQVVfeXFMUHNsaTJpQUdGRk8yQlpIWDZ5Zk9hdUNLbjNrdW9Bc1hSR1NnYWI0NEp4M1FYODBOd3hKQjEyUzg0ZkhJREl3endOblAwQzRHeU5rQURzT2lmLWExY2pzQjFNdl9EdHJxRTVUdjFzN0pDemgxWmgteVRDMkhidFIxdTZPWDJDdklJR3dSaGY4ZTRSWHhlYzNLdFM1Q3FyTE9zT2ZiWk5xZnVseEJnUkNseUtkSk9BTC02M1VYSFdUdTUyRFhtXzdjSEJXdzdUTDA1SktiTk9vSmVWMnhxNk9WTldsdjY0d0dWamtaUE8yM1VRaVVpLVdHUXVoTVhneUMzcEJnSnY?oc=5,https://news.google.com/rss/search?q=RBI+repo+rate&hl=en-IN&gl=IN&ceid=IN:en,2025-09-08T03:30:00,2025-09-14T18:20:39.598300,RBI repo rate
RBI Issues April 2025 Policy Update - PIB,https://news.google.com/rss/articles/CBMicEFVX3lxTE9vZEpCS2YwS29qTmRRay1VclVmOUQzWThsT2RWRFc5cTg2eGNYYkEyUGtSalZBNnJTR2ZuQmd0dnJtdUtHZ0s1a3lSOHhKS21COWxPYnJvblJDWkduNVNXMm5FUFIxbWFydjBYbTZEenc?oc=5,https://news.google.com/rss/search?q=RBI+repo+rate&hl=en-IN&gl=IN&ceid=IN:en,2025-04-09T07:00:00,2025-09-14T18:20:39.598319,RBI repo rate
"MPC keeps repo rate unchanged at 5.5%, GDP growth maintained at 6.5%, inflation forecast at 3.1% - The Hindu",https://news.google.com/rss/articles/CBMiwAFBVV95cUxPaVFNUGE2LWhOeUZqeGNSX0syeUI0dGFWSTEtUV9yTjgtTEdLRzRKWk9EenJYS2ZfdFVncWxjUjZsbVRaOVg4RUlYd0Q5QVppMHVnOEN3UGljdlFZSHpuMWFWdTlsWE5SNFFBaXFCeGxUYmlNTk9vRTg4NXhlaGRlenN1dGpETHVrbk1XRkpTTTFGTzNYRnEwOGlFTFdubVA1UEt6dmdreE1lcnhyTUVyRUFoNVNOWjRueTNEWERXa27SAccBQVVfeXFMT3h5ZUVudW5velJyZld4N2R1OGZvdlRmQWNJWGhkYUpRdXJiUWhGLUVOYzJDZ0hUM0lCNTNlMnpsQVBjRTZMZExibWZLbVYxcWpsSjRmd1FSeUpLQVViaVpIZXFqTFNlcDQwZXd3QnJvLTlQaGtLS1k3QWpTN1QwVU95TFpSYmlpTWRnVGYyWHdXd3pqd1pqMHNLTmRpRDYzaU8xSEtxZHVVUC1vQXhVOUloMkl4MS13T053R1NwQzRrTk9uVDUwaw?oc=5,https://news.google.com/rss/search?q=RBI+repo+rate&hl=en-IN&gl=IN&ceid=IN:en,2025-08-06T07:00:00,2025-09-14T18:20:39.598328,RBI repo rate
RBI MPC: home loan EMIs and interest rates unchanged as central bank holds repo rate at 5.50% - DD News,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQdTRTZVprZ0s1SjhkNmF4SFJBcjFZTjVMVE5Oc1B2MHNfS1JIRGZiMm9pOVJaLW5XaDFhZHYzQmgtbENmWnpkR1MzeWU0WWxSYUI0LWtUUHV1UzBTbzNIam9ZLWtmSVNVM0xZcUpPRC15ajlvdTZRc2szWmVtcTR3N2tyd0lWSTlsZjUzS0ZCZVFrdnZaXzdoWUNDNEMxY2o2YzJIendmU28weXlSWHdqWTBxbU1Ha0di?oc=5,https://news.google.com/rss/search?q=RBI+repo+rate&hl=en-IN&gl=IN&ceid=IN:en,2025-08-06T07:00:00,2025-09-14T18:20:39.598341,RBI repo rate
RBI MPC meet: RBI governor Sanjay Malhotra says repo rate kept unchanged at 5.5%; what does it mean for y - Times of India,https://news.google.com/rss/articles/CBMiqAJBVV95cUxQcmg2QldESXZXS1RaTkNXN0NZMlI5ZEhqQlFFRDJJYW94OW45R0FLMDV6RGJYNXd4UmtZRVlNZU02aTlneXAxOXc4Q0Q5eGZIREszVHJVcGhtMzhaX2RDWnVTLWZraGRrR3NRSzNyNDAxWkJ6T1dXRGV3M3FoSjJGcmNWTXl0LU5NdFZwS0xwdmZQSHhPRDctaWxOcTBxYUUwZFlTMmV1b050QVVKR2ZnQzcyalAxSzJDcDZDb3pFblJmN0p2Q3RXYWotbFRyVjZBMXFjNFhQT1lTT1Y1azBrcmtPdlF4b1ZCa2NWcXM3LWdhaHg2eTBnVTNuUW4zR3Z1S0FxRlZ5Y09ad1pPYmZRWE1tMm51THZlRGlLaldVa2s3X2FoSWZibtIBrgJBVV95cUxObGxqcWRyQmE0dWJORm1fTFJuRDVMOHF6Mk03d01lUmJfX2gtdDFnbDFpQ1puVnd3bWN3UzRLNWNDWWZBMDc1eXY5RlVCVnA4djI2TTJ6OWdWTHIzZEZKT19Ia01yVldSOFlZaVI0Q1lrbFNuLVhnU0U2d2JRZFdITEFDOVAxUlFTSk5KODdhd2ZhZWtBQno1ZTRpWkIyWUxtQ3p2VmozeHpsOEFGWGNHQUhaUlpPbE9LYWIxTGhxZGY2UHcybDdWUGFjaE4zdzlaaUt1RThTRTR6TV9GZTNNTjFreXg3TXNoLUJDb3RqWjFyVFRncDF2YnZNUEVyaWs3T3FlLTJrc24xNDJLMERnZG1ydjVlV1JVXzVweUEySW8zcmpINmo1ODFYV1Nudw?oc=5,https://news.google.com/rss/search?q=RBI+repo+rate&hl=en-IN&gl=IN&ceid=IN:en,2025-08-06T07:00:00,2025-09-14T18:20:39.598352,RBI repo rate
Will the dream run for home loan borrowers continue despite RBI pausing repo rate? - The Economic Times,https://news.google.com/rss/articles/CBMi5wFBVV95cUxOM3h2SHJVRE1fbFVtX1NLVGdjbmhKempGMXNzdFJ2bGNqMVg1SS1JYVRLLWtla2FuSlRCRjJ5RVR2Q0RLeE1vamR6MHdyczdsYXRQdG1rS0ZDMFNSRVZiR1hudzF6UUE2N3hjQTd6UFpBcmNkQVRhRFIydkxocGJFbExKS1h0ZHVkWFVjVXJVNm5kLWF3Q0x5VnlBQk1SNEY5Qjc2UkNPdXBNSnFQMGw1MUxOeVdSWU9QNzVpVktYNlFBN1BzTkRsWXU5TUtqbXpDWmQyZ3EzQWpYdlpocWZsTnlsUG04UmPSAewBQVVfeXFMUHhlRDBrak0tZVltcVhLRDhDNEFxTW1LM1RCdG14LWl5MlVHMG9LcTFKTFY5QXppZ0xYUzhybWxCM3dvVzZxaUlWa2prbGI0QmZ4MVJiTy1QVmNBVVpxOW1aZlB2Sm5Ic0VvU1dsbHd5ZFVCTFh4V3VsSGx5Z0d4WF9QREFfNlhFLUVFU3FINGV1MXUzLXNBMXZJRnJmLV9zbHVVOTlOc2kyLUNqV2hzanZFTUF0dGJjQWtDY0hQZ3RNdlM5Z25jOERpTGpEeVNTN1dXZWppRDJ0clA0RmVXeDBGTWg4bmFYVzRpUmw?oc=5,https://news.google.com/rss/search?q=RBI+repo+rate&hl=en-IN&gl=IN&ceid=IN:en,2025-08-06T07:00:00,2025-09-14T18:20:39.598372,RBI repo rate
Why isn't your home loan EMI dropping after RBI rate cuts? Blame your lender - The Economic Times,https://news.google.com/rss/articles/CBMi2gFBVV95cUxQd3hmcVhJTG0tazNQVEVQVDNUMXBpenVGRFo3UzR3akhEMm9SWFo1V21YMlFuWVdxWkNXeHFVSEtTc3hfLS04U3ZlVTlTWlJhc3RDdjZqRk5wTVppQ3ZkYzFIM2xBalhYOU9ES054MmctczdRR0NhOEs5R0tGd2VYc1V6UDhXSHJnY0JUVlVHNXB5ZmVaaFN1ZUNLV0I1QU9IWTE2bEJtX0RwbGVMLUxVS0lXTEE3ZVZucVhpMXUtbXU4c3c2MkZjTnJCM2Mzd2NPYmEyLVgybnpRQdIB3wFBVV95cUxOOUg4LVJUMkVjYTJYZTdjRHhxSl9VdE1xczVDVGpYNHMwWE1FNW1RQldEdTVjc2pTczlNbWhnUWtSZFB6VmN1ck1PQ2JzMXFQcHM5aXVQbHR5ZXZtVUNZSUx3UlJIX3FrbTgzWk9IMF9aYW1pZ3dsbl9EQVBqUWd3aFpLamg2UVdKZmkyWUgwWHdMVUItVjAyZDk1VkxZMlBVSjZUTHltTFEwZHdpN3d1TXVNelRCdDBkcFg0T1VLYmlPRVlMeHpEZE9QLU1PQjkzbmxOOHVtcGM2MXYzSmdn?oc=5,https://news.google.com/rss/search?q=RBI+repo+rate&hl=en-IN&gl=IN&ceid=IN:en,2025-08-18T07:00:00,2025-09-14T18:20:39.598386,RBI repo rate
"RBI may go for another 25 bps rate cut in August, repo rate to come down at 5.25%: ICICI Bank - The Economic Times",https://news.google.com/rss/articles/CBMi9wFBVV95cUxQa0pCbHRBeVQxcHZxcWlIbkk5R3JGZDJsU3A2dW9oazBYQjlGQnoxR2dvLUdJUnFZTEpqZDh1THFOTzBwS3RGazJ6M29PdVh6c0dFYnYwMEtGMHMwVXU1V3Jma0NrcE1tZmlvb2ttWGxtZDdjSDAteGdfSUxaWGtTd1NjNjlfeFhHRVc5cF9XNmc0cWR4aDlTRmJpUDNnNjc3aWxCcjRweTZUY2x4TTlsWkZYYmRzOFNfdGx4UEREbXlBem5rSXNReEFvVFVLY2ZjdWdXVnRubEZqVEl3ajhsNDNKRVF4emdiMHd6NkJIT2NMREV6SEJF0gH8AUFVX3lxTE1ZbkxfN2JuRmhmZ085bWVJTm9mOG5ORl9SYUJUbTFWUkxLNm5QV3N4X1g2ZVlNTXZBOG5YX1ZFNVp5VGxrUGx3cnlSbm1lVTJWeEtDUE1raG1aUFhDd2Z1c3lTaGlwS1VFaW9MMkdkQ2ZQMFJOSFBfLW1BcmRsSUpUSnFiUjl1eFNlaWM3TVBXN0g4Ni00X2Zibk1GZlpfd08xZVF2OWtQQmNTdmUyb3dIZmFsdGI5bk1zeFc0M1Y5VUV0S1JfZU10Rm9BY1BWQWRXUWstOWFzOEdaSEc0SnV0OVNhWHhQeEpqV3pIcWJVdFZ1WTdTaGxWbXVteQ?oc=5,https://news.google.com/rss/search?q=RBI+repo+rate&hl=en-IN&gl=IN&ceid=IN:en,2025-07-18T07:00:00,2025-09-14T18:20:39.598400,RBI repo rate
"RBI's MPC minutes: Status quo in August hinged on tariffs, rate-cut outcome - Business Standard",https://news.google.com/rss/articles/CBMi1wFBVV95cUxNeVBZYmlLSVZRQXpNWG5CT0ZRa29yVFZyVmNnM0FYdjRPR25qMjZIWlVKSzBwQnN5akpNMVlmNlRSS0JNUmdFbXFYQ1I2XzBNYkY3SWpmUXdGSl9hQ194dFlTVnhVYXZ3ekM4TFpiTlZYS2ZZRlJEQWFfX0xvYzZnQXdKVU5NRHlNOG1rbVBXd1BSdnJpa1dOZkh1S2hSOUQzM3J4UGQ0MEY3SVVQRlFGRGNpaHVnSFd5V2Q0RE95end1enBJOXM1dkJFUXVZVUVTZU81ZXZyRdIB3AFBVV95cUxPQmwyMERnbTJJZXozdC1hSEh3dGxLLU00dlVYY1FSOHFna193MF9VYUc5LTlKeGdKV04wcGxBcnJMTS1MTzRpNDYxcHcwSkMtSWctb1FOSWZMY2lZVl81dnI2Ml9RandzTVRBaTdhd1hOczhuOFRDcGZNTXlXczNoUFdsb25RclJOazlPWm1fcUwtcmFfMkFtQ0NvRU1NdHB6eDFMQTFfa1JoU2hIR0F4bGxFUDR0Q1hhS0NSUFVTWFV6T0QwbDMxMnBmRi0wN2VxRmpuRERUQzAyRTVu?oc=5,https://news.google.com/rss/search?q=RBI+repo+rate&hl=en-IN&gl=IN&ceid=IN:en,2025-08-20T07:00:00,2025-09-14T18:20:39.598416,RBI repo rate
​A cut in time: On RBI and repo rate cut - The Hindu,https://news.google.com/rss/articles/CBMiowFBVV95cUxPdk1ZdVhYQTZTSEotcXJ4azBDVEp5MmZuSEsydFFmSlMzY1J0djRYd3RTbUtVc2xWeDdYM3h2WUZrUXE5SFNmVnZCOXZobFE2LUNYMk9rdktqdERULW9mYjd0eG9PbmJKRTlYeGJqeHFLLUZEOEJiTnIxOU1mT2JFcGxCV1ZKb0RWQlNEQ0Y5RFFUYm5YODBYLXFQVTdlcUFURXZR0gGqAUFVX3lxTE5TY1hVbGpYZjNTa1RtaFhXaW1UTE5kNlk5ZGpPU3pBTkd0V21HX2xZWUFhMXNaUzVCQnBzaHZ0NTl5bk1Gc0JhTWNla0J3RGR3WWg1RDZrSkZRdjZFUmZWdmt4bWI3OTV0TnMxOTJBby1EeGxPSTZzTUVHanVrLTZheWJTRGU0Y01EUDFHRHc1dzFudUg5VFBicHlqVDNubHdfOVVNQkE0YXNn?oc=5,https://news.google.com/rss/search?q=RBI+repo+rate&hl=en-IN&gl=IN&ceid=IN:en,2025-04-11T07:00:00,2025-09-14T18:20:39.598430,RBI repo rate
